Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
189-85-7912,C,Naypyitaw,Member,Male,Fashion accessories,34.75,4,6.95,145.95,01/18/2019,11:43,Credit card,139.0,4.761904762,6.95,9.4
658-63-4611,A,Yangon,Member,Male,Electronic accessories,30.94,10,15.47,324.87,01/04/2019,18:12,Credit card,309.4,4.761904762,15.47,7.9
489-22-6881,B,Mandalay,Normal,Male,Electronic accessories,72.83,6,21.849,458.829,02/05/2019,12:13,Cash,436.98,4.761904762,21.849,4.6
733-56-4150,B,Mandalay,Normal,Male,Fashion accessories,51.34,2,5.134,107.814,02/18/2019,11:35,Cash,102.68,4.761904762,5.134,9.0
564-91-6977,C,Naypyitaw,Member,Male,Fashion accessories,30.51,5,7.6275,160.1775,01/11/2019,13:55,Ewallet,152.55,4.761904762,7.6275,6.3
267-69-7216,A,Yangon,Normal,Female,Electronic accessories,70.31,2,7.031,147.651,03/19/2019,20:10,Credit card,140.62,4.761904762,7.031,8.4
680-50-4483,B,Mandalay,Member,Female,Health and beauty,30.61,1,1.5305,32.1405,02/10/2019,16:17,Ewallet,30.61,4.761904762,1.5305,5.3
864-84-8019,C,Naypyitaw,Normal,Female,Fashion accessories,51.29,5,12.8225,269.2725,01/18/2019,13:47,Credit card,256.45,4.761904762,12.8225,7.2
256-90-3621,C,Naypyitaw,Normal,Female,Electronic accessories,99.75,3,14.9625,314.2125,03/07/2019,17:05,Ewallet,299.25,4.761904762,14.9625,9.2
217-97-9797,C,Naypyitaw,Normal,Male,Sports and travel,44.34,8,17.736,372.456,03/09/2019,14:35,Ewallet,354.72,4.761904762,17.736,8.1
208-90-5889,B,Mandalay,Normal,Male,Home and lifestyle,49.12,8,19.648,412.608,01/01/2019,14:32,Ewallet,392.96,4.761904762,19.648,7.0
214-56-6038,C,Naypyitaw,Member,Male,Home and lifestyle,78.62,9,35.379,742.959,03/09/2019,10:38,Cash,707.58,4.761904762,35.379,6.9
231-94-8787,A,Yangon,Member,Male,Food and beverages,95.22,2,9.522,199.962,03/04/2019,11:48,Credit card,190.44,4.761904762,9.522,8.6
830-49-7537,C,Naypyitaw,Member,Female,Food and beverages,88.51,7,30.9785,650.5485,01/28/2019,18:48,Credit card,619.57,4.761904762,30.9785,8.1
335-85-4608,C,Naypyitaw,Normal,Female,Food and beverages,50.63,4,10.126,212.646,01/29/2019,11:21,Ewallet,202.52,4.761904762,10.126,7.5
